"gene_id","hl.Neurite","hl.Soma"
"ENSMUSG00000019158",2.175,5.925
"ENSMUSG00000019189",5.025,3
"ENSMUSG00000019254",5.325,3.8
"ENSMUSG00000019297",2.55,1.925
"ENSMUSG00000019302",3.2,4.475
"ENSMUSG00000019428",5.1,4.025
"ENSMUSG00000019432",2.225,1.875
"ENSMUSG00000019578",2.325,4.025
"ENSMUSG00000019647",4.425,2.425
"ENSMUSG00000019689",7.25,4.25
"ENSMUSG00000019699",2.525,3.525
"ENSMUSG00000019715",3.725,3.75
"ENSMUSG00000019775",2.2,1.475
"ENSMUSG00000019777",2.7,5.175
"ENSMUSG00000019790",2.2,2.85
"ENSMUSG00000019802",6.4,5.475
"ENSMUSG00000019806",2.825,2.35
"ENSMUSG00000019831",3.65,5.5
"ENSMUSG00000019837",2.825,3.125
"ENSMUSG00000019843",3.95,2.35
"ENSMUSG00000019849",6.725,4.725
"ENSMUSG00000019907",4.65,3.575
"ENSMUSG00000019923",6.5,6.975
"ENSMUSG00000019947",3.95,2.475
"ENSMUSG00000019970",2.45,2.3
"ENSMUSG00000019977",5.3,3.625
"ENSMUSG00000019978",2.35,5.275
"ENSMUSG00000019979",2.1,2.05
"ENSMUSG00000020015",3.6,2.225
"ENSMUSG00000020048",5.6,4.15
"ENSMUSG00000020074",2.25,3.175
"ENSMUSG00000020097",4.175,4.6
"ENSMUSG00000020108",3.15,3.825
"ENSMUSG00000020116",5.225,4.075
"ENSMUSG00000020121",1.65,3.5
"ENSMUSG00000020124",3.775,2.075
"ENSMUSG00000020132",4.125,4.275
"ENSMUSG00000020134",2.775,2.65
"ENSMUSG00000020135",4.475,3.675
"ENSMUSG00000020152",4.55,7.425
"ENSMUSG00000020160",2,2.775
"ENSMUSG00000020166",5.95,3.35
"ENSMUSG00000020176",7.55,5.5
"ENSMUSG00000020180",7.025,6.8
"ENSMUSG00000020189",3.675,3.85
"ENSMUSG00000020198",1.975,1.775
"ENSMUSG00000020205",2.6,2.175
"ENSMUSG00000020219",4.65,2.225
"ENSMUSG00000020225",8.45,3.5
"ENSMUSG00000020255",2.875,1.525
"ENSMUSG00000020267",11.45,7.7
"ENSMUSG00000020277",6.1,2.9
"ENSMUSG00000020297",3.8,3.65
"ENSMUSG00000020305",6.275,3.525
"ENSMUSG00000020315",5.6,3.575
"ENSMUSG00000020321",8.6,3.175
"ENSMUSG00000020328",5.825,6.05
"ENSMUSG00000020349",3.425,7.75
"ENSMUSG00000020372",15.95,4.95
"ENSMUSG00000020392",3.475,3.825
"ENSMUSG00000020431",4.35,5.075
"ENSMUSG00000020456",3.25,3.075
"ENSMUSG00000020458",1.975,2.425
"ENSMUSG00000020462",2.35,1.375
"ENSMUSG00000020463",1.975,2.175
"ENSMUSG00000020476",5.25,5.025
"ENSMUSG00000020477",7.15,3.625
"ENSMUSG00000020492",4.575,6.55
"ENSMUSG00000020516",6.7,1.275
"ENSMUSG00000020530",3.35,1.6
"ENSMUSG00000020547",2.325,3.475
"ENSMUSG00000020577",3.075,5
